areas,name,id,type,class,hot,address,feature,Pos
广东·深圳·南山区,深圳保利剧院,3205293749,场馆,,热度 0.0,广东深圳市南山区后海滨路3013号,毗邻连接香港的深圳西部通道繁华地段,"113.945463,22.521982"
上海·上海·长宁区,可当代艺术中心,2208887859,场馆,,热度 0.0,上海市长宁区凯旋路613号B座(近延安西路),为当代艺术提供发布与交流的平台,"121.423418,31.217417"
上海·上海·浦东新区,上海喜玛拉雅中心,1680717266,场馆,,热度 0.0,上海市浦东新区芳甸路1188号（梅花路口）,由国际著名建筑大师矶崎新先生设计,"121.57510389089,31.223325607308"
四川·乐山·峨眉山,峨眉山演艺中心,1151262246,场馆,,热度 0.0,四川省乐山市峨眉山市秀湖大道 峨眉山演艺中心,四川旅游文化的新名片,"103.477662,29.583614"
广东·广州·萝岗区,广州国际体育演艺中心,3448003038,场馆,,热度 0.0,广东广州市萝岗开发区科学城开创大道2666号,按NBA国际标准设计建设的篮球馆,"113.489349,23.182328"
北京·北京·东城区,中国国家博物馆剧院,4089206732,场馆,,热度 0.0,北京市东城区东长安街16号中国国家博物馆内,展示中华民族文化历史的综合性博物馆,"116.41380342308,39.917894466486"
湖北·武汉·汉口区,蓝天歌剧院,1891451945,场馆,,热度 0.0,湖北省武汉汉口解放大道1049号（蓝天宾馆内）,维也纳金色大厅风格的大型剧院,"114.26719812849,30.590428731764"
广东·广州·荔湾区,广州平安大剧院,1342696236,场馆,,热度 0.0,广东广州荔湾区十甫路125号（上下九步行街内）,座落于繁华闹市区的上下九步行街路段,"113.251465,23.119326"
湖北·武汉·汉阳区,武汉琴台大剧院,1985298274,场馆,,热度 0.0,湖北省武汉市汉阳区知音大道7号,武汉琴台大剧院由武汉市政府投资兴建，是武汉市乃至华中地区。剧院位于月湖之畔，汉江之滨，隔湖南望始建于明万历年间的古琴台，,"114.265694,30.567203"
安徽·芜湖·弋江区,芜湖美丽华新视听歌舞剧院,2565600514,场馆,,热度 0.0,安徽省芜湖市弋江区奥林匹克体育馆内6号门,不仅是舞台艺术，更是城市文化,"118.385183,31.314901"
广东·深圳·福田区,深圳大剧院,3610430824,场馆,,热度 0.0,广东深圳市福田区深南东路5018号,著名八大文化设施之一,"114.111866,22.549263"
北京·北京·鸟巢,鸟巢北京会展中心4D全息演唱会馆,3173809421,场馆,,热度 0.0,北京朝阳国家体育场南路一号CAIA北京会展中心,中国首家引进的全息演唱会馆,"116.403959,39.998964"
辽宁·沈阳,盛京大剧院,173848786,场馆,,热度 0.0,沈阳市和平区沈水路518号(近五里河公园西门),在这里，看芭蕾，听交响,"123.45516664103,41.764815629257"
江西·南昌·青山湖区,江西艺术中心,1739983570,场馆,,热度 0.0,江西南昌市青山湖区高新大道1978号,目前中国优秀的大剧院之一,"115.966799,28.686611"
广东·东莞·南城区,东莞玉兰大剧院,2164363189,场馆,,热度 0.0,广东省东莞市南城区鸿福路96号,多功能实验剧场，流畅的观演体验,"113.75416,23.020326"
广西·南宁·良庆区,广西文化艺术中心大剧院,461017442,场馆,,热度 0.0,广西省南宁市良庆区龙堤路25号,多功能厅有各种形式的演出提供一个全能舞台,"108.375146,22.782888"
江苏·南京·玄武区,南京文化艺术中心,2625302406,场馆,,热度 0.0,江苏省南京玄武区长江路101号,南京文化艺术中心拥有南京长江路文化街区和南京新街口核心商圈交汇的黄金地势，总建筑面积近3万平方米，建筑高度44.7米，总,"118.8009391403,32.057164614675"
江苏·苏州·金阊区,苏州演艺中心,4156200315,场馆,,热度 0.0,江苏省苏州市金阊区 金门路33号,地处石路商业圈南缘苏州古城金门之外,"120.611039,31.316552"
山西·太原·杏花岭区,青年宫演艺中心,136129331,场馆,,热度 0.0,山西省太原市杏花岭区府西街109号,设备一流、服务一流,"112.548162,37.88045"
广东·韶关·翁源县,韶关挑战者汽车特技,2256811461,场馆,,热度 0.0,广东省韶关市翁源县官渡镇,领略汽车、摩托车特技运动的激情与魅力,"113.895724,24.292121"
陕西·延安·宝塔区,延安大礼堂,1360103839,场馆,,热度 0.0,陕西省延安市宝塔区,陕西省文化厅曾授予“文明单位”称号,"109.495767,36.593564"
